     0,-0.000067,-0.032622,0.0
     2,-0.000128,-0.030089,0.0
     4,-0.000185,-0.028173,0.0
     6,-0.000239,-0.026669,0.0
     8,-0.000291,-0.025434,0.0
    10,-0.000340,-0.024382,0.0
    12,-0.000388,-0.023458,0.0
    14,-0.000433,-0.022623,0.0
    16,-0.000477,-0.021854,0.0
    18,-0.000520,-0.021134,0.0
    20,-0.000561,-0.020452,0.0
    22,-0.000601,-0.019801,0.0
    24,-0.000640,-0.019178,0.0
    26,-0.000677,-0.018577,0.0
    28,-0.000713,-0.017998,0.0
    30,-0.000749,-0.017437,0.0
    32,-0.000783,-0.016896,0.0
    34,-0.000816,-0.016371,0.0
    36,-0.000848,-0.015862,0.0
    38,-0.000879,-0.015370,0.0
    40,-0.000909,-0.014892,0.0
    42,-0.000802,0.050921,0.0
    44,-0.000715,0.040570,0.0
    46,-0.000649,0.030926,0.0
    48,-0.000600,0.022387,0.0
    50,-0.000566,0.015092,0.0
    52,-0.000545,0.009029,0.0
    54,-0.000535,0.004091,0.0
    56,-0.000533,0.000144,0.0
    58,-0.000537,-0.002639,0.0
    60,-0.000545,-0.004905,0.0
    62,-0.000558,-0.006701,0.0
    64,-0.000573,-0.008083,0.0
    66,-0.000591,-0.009111,0.0
    68,-0.000610,-0.009847,0.0
    70,-0.000631,-0.010344,0.0
    72,-0.000652,-0.010649,0.0
    74,-0.000674,-0.010802,0.0
    76,-0.000695,-0.010836,0.0
    78,-0.000717,-0.010780,0.0
    80,-0.000738,-0.010659,0.0
    82,-0.000759,-0.010477,0.0
    84,-0.000780,-0.010259,0.0
    86,-0.000800,-0.010015,0.0
    88,-0.000820,-0.009752,0.0
    90,-0.001000,-0.085853,0.0
    92,-0.001150,-0.071374,0.0
    94,-0.001274,-0.059359,0.0
    96,-0.001377,-0.049385,0.0
    98,-0.001464,-0.041095,0.0
   100,-0.001535,-0.034215,0.0
   102,-0.001595,-0.028495,0.0
   104,-0.001645,-0.023740,0.0
   106,-0.001686,-0.019788,0.0
   108,-0.001721,-0.016504,0.0
   110,-0.001768,-0.023570,0.0
   112,-0.001813,-0.021658,0.0
   114,-0.001853,-0.019309,0.0
   116,-0.001887,-0.016778,0.0
   118,-0.001917,-0.014309,0.0
   120,-0.001942,-0.012017,0.0
   122,-0.001963,-0.009955,0.0
   124,-0.001981,-0.008140,0.0
   126,-0.001994,-0.006566,0.0
   128,-0.002006,-0.005218,0.0
   130,-0.002014,-0.004075,0.0
   132,-0.002021,-0.003113,0.0
   134,-0.002026,-0.002311,0.0
   136,-0.002029,-0.001646,0.0
   138,-0.002032,-0.001102,0.0
   140,-0.002033,-0.000659,0.0
   142,-0.002034,-0.000303,0.0
   144,-0.002034,-0.000019,0.0
   146,-0.002034,0.000203,0.0
   148,-0.002033,0.000376,0.0
   150,-0.002033,0.000505,0.0
   152,-0.002031,0.000600,0.0
   154,-0.002030,0.000666,0.0
   156,-0.002029,0.000708,0.0
   158,-0.002027,0.000731,0.0
   160,-0.002026,0.000739,0.0
   162,-0.002024,0.000734,0.0
   164,-0.002023,0.000719,0.0
   166,-0.002021,0.000696,0.0
   168,-0.002022,-0.001241,0.0
   170,-0.002028,-0.003484,0.0
   172,-0.002036,-0.004335,0.0
   174,-0.002045,-0.004354,0.0
   176,-0.002053,-0.003965,0.0
   178,-0.002060,-0.003442,0.0
   180,-0.002067,-0.002986,0.0
   182,-0.002072,-0.002523,0.0
   184,-0.002076,-0.002116,0.0
   186,-0.002006,0.033984,0.0
   188,-0.001946,0.029041,0.0
   190,-0.001895,0.024307,0.0
   192,-0.001853,0.019969,0.0
   194,-0.001818,0.016359,0.0
   196,-0.001790,0.013184,0.0
   198,-0.001768,0.010470,0.0
   200,-0.001751,0.008177,0.0
   202,-0.001737,0.006256,0.0
   204,-0.001727,0.004611,0.0
   206,-0.001720,0.003220,0.0
   208,-0.001715,0.002136,0.0
   210,-0.001712,0.001290,0.0
   212,-0.001711,0.000631,0.0
   214,-0.001710,0.000121,0.0
   216,-0.001711,-0.000279,0.0
   218,-0.001712,-0.000607,0.0
   220,-0.001713,-0.000876,0.0
   222,-0.001715,-0.001100,0.0
   224,-0.001718,-0.001285,0.0
   226,-0.001720,-0.001037,0.0
   228,-0.001722,-0.000582,0.0
   230,-0.001724,-0.001252,0.0
   232,-0.001727,-0.001651,0.0
   234,-0.001731,-0.001872,0.0
   236,-0.001734,-0.001978,0.0
   238,-0.001738,-0.002008,0.0
   240,-0.001742,-0.001961,0.0
   242,-0.001746,-0.001903,0.0
   244,-0.001750,-0.001836,0.0
   246,-0.001754,-0.001764,0.0
   248,-0.001757,-0.001690,0.0
   250,-0.001760,-0.001616,0.0
   252,-0.001763,-0.001542,0.0
   254,-0.001766,-0.001470,0.0
   256,-0.001769,-0.001401,0.0
   258,-0.001772,-0.001334,0.0
   260,-0.001774,-0.001271,0.0
   262,-0.001777,-0.001210,0.0
   264,-0.001779,-0.001153,0.0
   266,-0.001781,-0.001099,0.0
   268,-0.001784,-0.001048,0.0
   270,-0.001786,-0.001000,0.0
   272,-0.001788,-0.000954,0.0
   274,-0.001789,-0.000911,0.0
   276,-0.001791,-0.000870,0.0
   278,-0.001793,-0.000832,0.0
   280,-0.001794,-0.000795,0.0
   282,-0.001796,-0.000761,0.0
   284,-0.001797,-0.000728,0.0
   286,-0.001799,-0.000698,0.0
